caption,mean,label
"I miss the old atmosphere.""",1.5755041810132808,funny
Venus is beautiful but extremely toxic. We haven't been together since the birth of our sun.,1.5440778799351,funny
"So then, I turned around and caught them together—the light of my life and the freaking moon.",1.5148678414096917,funny
I just discovered I'm bipolar.,1.5674562306900104,funny
It just feels like I’ve been going in circles for years.,1.6765894891583977,funny
"For just once, I’d like it if things didn’t revolve around me",1.6124661246612466,funny
I think I’ll call it a night.,1.5652412280701755,funny
My problems started when I gave Saturn a ring.,1.563265306122449,funny
"When I dry out, they complain about the droughts. When I drink, they complain about the floods. You can't win with these people!",1.534821903242956,funny
"So I say to the guy, “YOU try having Florida stuck to your ass all day.”",1.6220703125,funny
So what if I’m in the perfect position to harbor life? Maybe I wanted a career.,1.5686170212765955,funny
I’ll take a frozen ANYTHING!,1.5671094823637195,funny
I've been taking a lot of heat lately.,1.6886836027713623,funny
Is the whole room spinning or is it just me?,1.7766934557979337,funny
Everything’s on me.,1.5114276250414045,funny
She left me for someone cooler.,1.5714881200500208,funny
"And then the Sun says to me, “Actually your life does revolve around me.”",1.6253229974160206,funny
The drinks are good but there’s no atmosphere.,1.581067472306143,funny
"Yeah, that was me. I have greenhouse gas.",1.828421052631579,funny
"Have 8 billion kids”, they said. “They’ll look after you in your old age”, they said",1.7403669724770643,funny
In about a minute you'll have the world at your feet.,1.5521449704142012,funny
It’s mostly water weight.,1.6708456243854477,funny
I think I’m bipolar.,1.619751626256653,funny
Turns out I'm bipolar.,1.508289241622575,funny
Before Copernicus I was at the center of it all,1.647573587907717,funny
Give me another one. My doctor just told me I don't have long to live!,1.50253807106599,funny
Did I mention that I'm bipolar?,1.6056307758435415,funny
I just found out that I’m bipolar,1.5620473201352003,funny
"Oh yeah, well I said it was ""Last Call"" 20 years ago & no one listened to me!",1.6042749855574812,funny
I turn around and the day is gone.,1.6116141732283464,funny
One more round and I'll call it a day.,1.6048006048006047,funny
The trouble is that this place ain't got no atmosphere.,1.5118312757201646,funny
"If you’ve got the tequila, I’ve got the sunrise.",1.5522995522995524,funny
A hot planet walks into a bar and no one seems to care. Get it?,1.5185370741482966,funny
"Look, pal — I know when something is seventy percent water.",1.6721620348563353,funny
I really miss the dinosaurs.,1.5033745781777277,funny
I just found out I'm bipolar.,1.681636282792352,funny
Thirty years ago I was way cooler.,1.7875056999544003,funny
I could use a little more ice,1.6851738865161685,funny
...and I'm constantly being mooned!,1.6592844974446337,funny
Can you turn on the A/C?,1.5251959686450167,funny
These days I revolve around gin.,1.3674321503131524,somewhat_funny
"Me? I’m the 3rd one out of 8. Used to be 9, but we don’t even mention him anymore .",1.3625592417061612,somewhat_funny
"Some days, I just miss Pluto.",1.3103448275862069,somewhat_funny
I don't care how it sounds. I miss the Covid-19 lockdown.,1.4147058823529413,somewhat_funny
"Yes, I am 71% water, but after this summer, I need a drink!",1.3,somewhat_funny
Why can't everything revolve around me?,1.3228915662650602,somewhat_funny
One drunken night with Venus and BOOM I have a moon now!,1.3006329113924051,somewhat_funny
"And I told them, 'listen, you'd self-medicate too, if you'd had the epoch I'm having!'",1.303030303030303,somewhat_funny
And I'm just getting warmed up!,1.3231292517006803,somewhat_funny
"You need the ice, I need the ice. Who knew ice was so important?",1.3003412969283277,somewhat_funny
"Three billion inhabited planets, and I get the nut jobs!",1.3372781065088757,somewhat_funny
You think global warming is the only thing on my mind. Try getting fracked.,1.3580246913580247,somewhat_funny
I used to be able to hold my groundwater for decades!,1.3384615384615384,somewhat_funny
This bar has no atmosphere.,1.3673870333988212,somewhat_funny
"Excuse me, my ice has melted.",1.383445945945946,somewhat_funny
"More ice, please.  Mine has melted",1.3058823529411765,somewhat_funny
It's 5 o'clock somewhere.,1.4910292728989614,somewhat_funny
No ice? Join the club!,1.351089588377724,somewhat_funny
Let me apologize in advance. I just passed some greenhouse gas.,1.4,somewhat_funny
I seem to be getting these hot flashes all the time.,1.4194805194805196,somewhat_funny
"Yes, I'm over 21",1.3174603174603174,somewhat_funny
"If that's Venus calling, tell her I'm not here !",1.3566084788029926,somewhat_funny
You mean we're BOTH out of ice?,1.4185185185185183,somewhat_funny
I'm gonna need a little ice.,1.3270440251572326,somewhat_funny
"Believe me, my other half has a very dark side!",1.3375,somewhat_funny
"And she said, get this, I wasn't hot enough. Well I'll show her!",1.386873920552677,somewhat_funny
She said I was flat! Do I look flat to you?,1.4033742331288344,somewhat_funny
"It’s not just the heat, it’s the stupidity.",1.336986301369863,somewhat_funny
"Joe,you ever get the feeling no one cares if you live or die?",1.3097643097643097,somewhat_funny
"I think global, but I drink local.",1.4242424242424243,somewhat_funny
"""How would you like to spin on your axis 24 hours a day?""",1.3015267175572518,somewhat_funny
"I knew him, yes, but then he shrugged!",1.3288590604026846,somewhat_funny
Cut me off. I'm starting to spin.,1.3220338983050848,somewhat_funny
"Is it getting hotter in here,is it just me?",1.354625550660793,somewhat_funny
Be honest. Does this outfit make me look flat?,1.3193717277486912,somewhat_funny
"...and to top it off, she said I needed a latitude adjustment.",1.3172205438066464,somewhat_funny
Is the room spinning or is it me?,1.4396284829721362,somewhat_funny
"They say the earth's getting hotter, but I'm still single.",1.4582357533177206,somewhat_funny
"Is it hot, or is it just me?",1.360091743119266,somewhat_funny
"If Venus calls, I’m not here.",1.4587221823402727,somewhat_funny
I feel like I'm just constantly going around in circles.,1.3973607038123168,somewhat_funny
It’s 5:00 somewhere.,1.44,somewhat_funny
The flat-earthers called me fat!,1.4354322305229457,somewhat_funny
"Is the room spinning, or is it just me?",1.3642857142857143,somewhat_funny
"And on top of all that, my shrink says I'm bipolar.",1.3743119266055046,somewhat_funny
"Believe it or not, there was a time when I was incontinent.",1.417910447761194,somewhat_funny
I think you know my ‘sun’!,1.3258064516129031,somewhat_funny
I can't stop thinking about Venus - She's not just bright. She's really hot.,1.3242424242424242,somewhat_funny
Sometimes I just get tired of going around in circles,1.325503355704698,somewhat_funny
"Sorry, my ice has melted""",1.385786802030457,somewhat_funny
"And then, he just shrugged.",1.4085850556438793,somewhat_funny
I’ve got a fracking headache,1.3112391930835734,somewhat_funny
"So I says to him I says, ""Pluto!  You are not a planet!""  But does he listen?",1.4006069802731411,somewhat_funny
But my head always feels like it's spinning.,1.3341645885286784,somewhat_funny
"She said, ‘It’s like we’re from different planets,’ and just walked out.",1.43890977443609,somewhat_funny
I look in the mirror and suddenly I'm 4.5 billion years old. And what have I done with my life?,1.4748062015503876,somewhat_funny
My life revolves around my sun.,1.336870026525199,somewhat_funny
Turns out I've got Humans. The doctor gave me six weeks.,1.3569620253164556,somewhat_funny
What do you mean you're out of ice?,1.3314447592067988,somewhat_funny
"I thought being named to the Hottest Planets list would make me more popular, but everyone is mad at me.",1.3580786026200873,somewhat_funny
Do I look flat to you?,1.3246376811594205,somewhat_funny
It's been a long Anthropocene.,1.3203592814371257,somewhat_funny
"Excuse me, I’m going to need some ice.",1.320113314447592,somewhat_funny
You’re the biggest bartender I’ve ever seen!,1.431554524361949,somewhat_funny
And I've been having hot flashes like there's no tomorrow!,1.3254437869822486,somewhat_funny
I really need to cool off.,1.4234016887816647,somewhat_funny
"So then––and no, I'm not kidding––my doctor tells me, 'The foreseeable future will be utter hell.'",1.32378223495702,somewhat_funny
I don't know. I've been having these hot flashes lately.,1.3325062034739454,somewhat_funny
Do I really look like Gorbachev?,1.3274021352313168,somewhat_funny
I like coming for the atmosphere.,1.3249427917620138,somewhat_funny
This is like 2/3 water.,1.3365617433414043,somewhat_funny
My ice melted.,1.3245614035087718,somewhat_funny
I finally got diagnosed. Turns out I'm bipolar.,1.4809248554913297,somewhat_funny
"And if that isn’t enough, now they want to leave me for Mars",1.3865248226950355,somewhat_funny
Is everything spinning or is it just me?,1.3324175824175823,somewhat_funny
Is this room spinning right now?,1.3315217391304348,somewhat_funny
It all started with a big bang.,1.3677130044843049,somewhat_funny
I'll take whatever stops the spinning.,1.4389561975768872,somewhat_funny
And don't get me started about the drilling.,1.31044776119403,somewhat_funny
Global warming can make a guy very thirsty.,1.431328036322361,somewhat_funny
"""Global warming. Global hunger. Global terror.                                   Why is it always about me?""",1.3025830258302582,somewhat_funny
I’m not drunk. I’m always spinning on a tilt.,1.3180428134556574,somewhat_funny
At least when you shout “Last call” they take you seriously.,1.396694214876033,somewhat_funny
"I've only been carded once, at a Creationism mixer.",1.43569844789357,somewhat_funny
I’m telling you Frank. Sell the condo in Boca.,1.3359580052493438,somewhat_funny
It’s always 5 o’clock somewhere.,1.309608540925267,somewhat_funny
Hello! Earth to Larry!!,1.3364779874213837,somewhat_funny
"No more, Joe; I’m incontinent.",1.350253807106599,somewhat_funny
People are walking all over me.,1.303846153846154,somewhat_funny
"The truth is, I’ve changed.",1.3011152416356877,somewhat_funny
"Hey, so what happened to the atmosphere?",1.3757225433526012,somewhat_funny
I can't shake the feeling. Like something's crawling all over me,1.3054545454545454,somewhat_funny
"You sure you haven't seen her? A small, grey sphere. Answers to ""Luna.""",1.335632183908046,somewhat_funny
"Wait, am I drinking my own water?",1.3095238095238095,somewhat_funny
I think I'm going to need more ice.,1.3293768545994065,somewhat_funny
Do you have some aspirin? I'm feeling unusually warm.,1.4236874236874235,somewhat_funny
"...and then there's ""PLATE TECHTONICS""",1.424789410348977,somewhat_funny
I'm 5 billion years old - and having hot flashes like I'm 40!,1.3534136546184738,somewhat_funny
The kids are right. I'm just not as cool as I used to be.,1.413946587537092,somewhat_funny
Everyone just walks all over me.,1.4780316344463973,somewhat_funny
I offered her the world but she wanted the moon and the stars.,1.3694267515923566,somewhat_funny
I don’t want another Manhattan.,1.4794685990338163,somewhat_funny
It just feels like a world of hurt!,1.31044776119403,somewhat_funny
"It isn't the heat, it's the stupidity.",1.4613003095975232,somewhat_funny
"OK, I'll put in in your language: The temperature of  ""room temperature"" beer is getting too warm even for the Brits.",1.464726631393298,somewhat_funny
Is the A.C. working in this joint? I’m melting over here.,1.3563941299790356,somewhat_funny
Everything was going great until people showed up.,1.390158172231986,somewhat_funny
Did you turn the heat up or it just me?,1.3526785714285714,somewhat_funny
"Of course I drink alone! Jupiter and Saturn - just huge and gassy. Venus is cold as hell, Neptune's gone sideways, Pluto's out the club, and moon can't even reach the bar! Just keep 'em coming...",1.3725490196078431,somewhat_funny
"If you heard ""it's a small world after all"" as many times as I have, you'd drink too.",1.3491271820448878,somewhat_funny
The kids tell me I'm not as cool as I used to be.,1.3426966292134832,somewhat_funny
Who's gonna hire a four-and-a-half-billion-year-old planet?,1.3222591362126246,somewhat_funny
"I identify as global. My pronouns are worldwide, universal and international.",1.3412073490813647,somewhat_funny
What on earth do you want now?,1.351351351351351,somewhat_funny
My sun thinks the world revolves around him.,1.4894736842105265,somewhat_funny
Another ice water double…and keep ‘em coming!,1.4206730769230769,somewhat_funny
"Excuse me, I asked for the carbon neutral!",1.318181818181818,somewhat_funny
"“It’s 5 o’clock somewhere, Jimmy.”",1.4076015727391875,somewhat_funny
"You know, Joe, I've never really recovered from that big bang .",1.3229461756373937,somewhat_funny
Don't judge me. I know for a fact it's five o'clock somewhere.,1.462686567164179,somewhat_funny
"Caption contest finalists — Paul Nesja and Beth Lawler have their own podcast; whereon, they inform their loyal listeners of their weekly entries; as well as point out to them, the awfulness of the two captions that they ultimately compete against.",1.4179640718562874,somewhat_funny
Anything but oil.,1.4337349397590362,somewhat_funny
I told her I needed some space.,1.3810375670840789,somewhat_funny
"Yes, I’m round!  Why is that so hard to believe?",1.4365904365904365,somewhat_funny
I wish I had a nickel for every person who tells me it's not the end of the world.,1.343675417661098,somewhat_funny
Doc says I'm bipolar,1.3870967741935485,somewhat_funny
I'll see you same time tomorrow.,1.3312101910828025,somewhat_funny
"Your polar cap is melting too, huh?",1.353982300884956,somewhat_funny
"Can I have some more ice, please?",1.30188679245283,somewhat_funny
I guess I'm just not good with people.,1.4190358467243511,somewhat_funny
"So, how do these rising seas look on me?",1.301639344262295,somewhat_funny
"Is the room starting to spin or is it just me?""",1.3625,somewhat_funny
"7 billion martinis, please.",1.3079710144927537,somewhat_funny
"People are always complaining, ‘What’s wrong with the world these days?!’ It starts to get to you.",1.4035346097201766,somewhat_funny
What have you got on the menu for a Low Carbon Diet?,1.3929236499068902,somewhat_funny
"And then she says, 'Quit acting like everything revolves around you.'",1.3981337480559877,somewhat_funny
I feel I’m always half in the dark!,1.4555735056542811,somewhat_funny
"I don’t know, Mac. Maybe it’s “the change” but I feel hot all the time these days.",1.397897897897898,somewhat_funny
"He's small and gray, and he was right next to me!",1.3407407407407408,somewhat_funny
