caption,label
"I miss the old atmosphere.""",funny
Venus is beautiful but extremely toxic. We haven't been together since the birth of our sun.,funny
"So then, I turned around and caught them together—the light of my life and the freaking moon.",funny
I just discovered I'm bipolar.,funny
It just feels like I’ve been going in circles for years.,funny
"For just once, I’d like it if things didn’t revolve around me",funny
I think I’ll call it a night.,funny
My problems started when I gave Saturn a ring.,funny
"When I dry out, they complain about the droughts. When I drink, they complain about the floods. You can't win with these people!",funny
"So I say to the guy, “YOU try having Florida stuck to your ass all day.”",funny
So what if I’m in the perfect position to harbor life? Maybe I wanted a career.,funny
I’ll take a frozen ANYTHING!,funny
I've been taking a lot of heat lately.,funny
Is the whole room spinning or is it just me?,funny
Everything’s on me.,funny
She left me for someone cooler.,funny
"And then the Sun says to me, “Actually your life does revolve around me.”",funny
The drinks are good but there’s no atmosphere.,funny
"Yeah, that was me. I have greenhouse gas.",funny
"Have 8 billion kids”, they said. “They’ll look after you in your old age”, they said",funny
In about a minute you'll have the world at your feet.,funny
It’s mostly water weight.,funny
I think I’m bipolar.,funny
Turns out I'm bipolar.,funny
Before Copernicus I was at the center of it all,funny
Give me another one. My doctor just told me I don't have long to live!,funny
Did I mention that I'm bipolar?,funny
I just found out that I’m bipolar,funny
"Oh yeah, well I said it was ""Last Call"" 20 years ago & no one listened to me!",funny
I turn around and the day is gone.,funny
One more round and I'll call it a day.,funny
The trouble is that this place ain't got no atmosphere.,funny
"If you’ve got the tequila, I’ve got the sunrise.",funny
A hot planet walks into a bar and no one seems to care. Get it?,funny
"Look, pal — I know when something is seventy percent water.",funny
I really miss the dinosaurs.,funny
I just found out I'm bipolar.,funny
Thirty years ago I was way cooler.,funny
I could use a little more ice,funny
...and I'm constantly being mooned!,funny
Can you turn on the A/C?,funny
These days I revolve around gin.,somewhat_funny
"Me? I’m the 3rd one out of 8. Used to be 9, but we don’t even mention him anymore .",somewhat_funny
"Some days, I just miss Pluto.",somewhat_funny
I don't care how it sounds. I miss the Covid-19 lockdown.,somewhat_funny
"Yes, I am 71% water, but after this summer, I need a drink!",somewhat_funny
Why can't everything revolve around me?,somewhat_funny
One drunken night with Venus and BOOM I have a moon now!,somewhat_funny
"And I told them, 'listen, you'd self-medicate too, if you'd had the epoch I'm having!'",somewhat_funny
And I'm just getting warmed up!,somewhat_funny
"You need the ice, I need the ice. Who knew ice was so important?",somewhat_funny
"Three billion inhabited planets, and I get the nut jobs!",somewhat_funny
You think global warming is the only thing on my mind. Try getting fracked.,somewhat_funny
I used to be able to hold my groundwater for decades!,somewhat_funny
This bar has no atmosphere.,somewhat_funny
"Excuse me, my ice has melted.",somewhat_funny
"More ice, please.  Mine has melted",somewhat_funny
It's 5 o'clock somewhere.,somewhat_funny
No ice? Join the club!,somewhat_funny
Let me apologize in advance. I just passed some greenhouse gas.,somewhat_funny
I seem to be getting these hot flashes all the time.,somewhat_funny
"Yes, I'm over 21",somewhat_funny
"If that's Venus calling, tell her I'm not here !",somewhat_funny
You mean we're BOTH out of ice?,somewhat_funny
I'm gonna need a little ice.,somewhat_funny
"Believe me, my other half has a very dark side!",somewhat_funny
"And she said, get this, I wasn't hot enough. Well I'll show her!",somewhat_funny
She said I was flat! Do I look flat to you?,somewhat_funny
"It’s not just the heat, it’s the stupidity.",somewhat_funny
"Joe,you ever get the feeling no one cares if you live or die?",somewhat_funny
"I think global, but I drink local.",somewhat_funny
"""How would you like to spin on your axis 24 hours a day?""",somewhat_funny
"I knew him, yes, but then he shrugged!",somewhat_funny
Cut me off. I'm starting to spin.,somewhat_funny
"Is it getting hotter in here,is it just me?",somewhat_funny
Be honest. Does this outfit make me look flat?,somewhat_funny
"...and to top it off, she said I needed a latitude adjustment.",somewhat_funny
Is the room spinning or is it me?,somewhat_funny
"They say the earth's getting hotter, but I'm still single.",somewhat_funny
"Is it hot, or is it just me?",somewhat_funny
"If Venus calls, I’m not here.",somewhat_funny
I feel like I'm just constantly going around in circles.,somewhat_funny
It’s 5:00 somewhere.,somewhat_funny
The flat-earthers called me fat!,somewhat_funny
"Is the room spinning, or is it just me?",somewhat_funny
"And on top of all that, my shrink says I'm bipolar.",somewhat_funny
"Believe it or not, there was a time when I was incontinent.",somewhat_funny
I think you know my ‘sun’!,somewhat_funny
I can't stop thinking about Venus - She's not just bright. She's really hot.,somewhat_funny
Sometimes I just get tired of going around in circles,somewhat_funny
"Sorry, my ice has melted""",somewhat_funny
"And then, he just shrugged.",somewhat_funny
I’ve got a fracking headache,somewhat_funny
"So I says to him I says, ""Pluto!  You are not a planet!""  But does he listen?",somewhat_funny
But my head always feels like it's spinning.,somewhat_funny
"She said, ‘It’s like we’re from different planets,’ and just walked out.",somewhat_funny
I look in the mirror and suddenly I'm 4.5 billion years old. And what have I done with my life?,somewhat_funny
My life revolves around my sun.,somewhat_funny
Turns out I've got Humans. The doctor gave me six weeks.,somewhat_funny
What do you mean you're out of ice?,somewhat_funny
"I thought being named to the Hottest Planets list would make me more popular, but everyone is mad at me.",somewhat_funny
Do I look flat to you?,somewhat_funny
It's been a long Anthropocene.,somewhat_funny
"Excuse me, I’m going to need some ice.",somewhat_funny
You’re the biggest bartender I’ve ever seen!,somewhat_funny
And I've been having hot flashes like there's no tomorrow!,somewhat_funny
I really need to cool off.,somewhat_funny
"So then––and no, I'm not kidding––my doctor tells me, 'The foreseeable future will be utter hell.'",somewhat_funny
I don't know. I've been having these hot flashes lately.,somewhat_funny
Do I really look like Gorbachev?,somewhat_funny
I like coming for the atmosphere.,somewhat_funny
This is like 2/3 water.,somewhat_funny
My ice melted.,somewhat_funny
I finally got diagnosed. Turns out I'm bipolar.,somewhat_funny
"And if that isn’t enough, now they want to leave me for Mars",somewhat_funny
Is everything spinning or is it just me?,somewhat_funny
Is this room spinning right now?,somewhat_funny
It all started with a big bang.,somewhat_funny
I'll take whatever stops the spinning.,somewhat_funny
And don't get me started about the drilling.,somewhat_funny
Global warming can make a guy very thirsty.,somewhat_funny
"""Global warming. Global hunger. Global terror.                                   Why is it always about me?""",somewhat_funny
I’m not drunk. I’m always spinning on a tilt.,somewhat_funny
At least when you shout “Last call” they take you seriously.,somewhat_funny
"I've only been carded once, at a Creationism mixer.",somewhat_funny
I’m telling you Frank. Sell the condo in Boca.,somewhat_funny
It’s always 5 o’clock somewhere.,somewhat_funny
Hello! Earth to Larry!!,somewhat_funny
"No more, Joe; I’m incontinent.",somewhat_funny
People are walking all over me.,somewhat_funny
"The truth is, I’ve changed.",somewhat_funny
"Hey, so what happened to the atmosphere?",somewhat_funny
I can't shake the feeling. Like something's crawling all over me,somewhat_funny
"You sure you haven't seen her? A small, grey sphere. Answers to ""Luna.""",somewhat_funny
"Wait, am I drinking my own water?",somewhat_funny
I think I'm going to need more ice.,somewhat_funny
Do you have some aspirin? I'm feeling unusually warm.,somewhat_funny
"...and then there's ""PLATE TECHTONICS""",somewhat_funny
I'm 5 billion years old - and having hot flashes like I'm 40!,somewhat_funny
The kids are right. I'm just not as cool as I used to be.,somewhat_funny
Everyone just walks all over me.,somewhat_funny
I offered her the world but she wanted the moon and the stars.,somewhat_funny
I don’t want another Manhattan.,somewhat_funny
It just feels like a world of hurt!,somewhat_funny
"It isn't the heat, it's the stupidity.",somewhat_funny
"OK, I'll put in in your language: The temperature of  ""room temperature"" beer is getting too warm even for the Brits.",somewhat_funny
Is the A.C. working in this joint? I’m melting over here.,somewhat_funny
Everything was going great until people showed up.,somewhat_funny
Did you turn the heat up or it just me?,somewhat_funny
"Of course I drink alone! Jupiter and Saturn - just huge and gassy. Venus is cold as hell, Neptune's gone sideways, Pluto's out the club, and moon can't even reach the bar! Just keep 'em coming...",somewhat_funny
"If you heard ""it's a small world after all"" as many times as I have, you'd drink too.",somewhat_funny
The kids tell me I'm not as cool as I used to be.,somewhat_funny
Who's gonna hire a four-and-a-half-billion-year-old planet?,somewhat_funny
"I identify as global. My pronouns are worldwide, universal and international.",somewhat_funny
What on earth do you want now?,somewhat_funny
My sun thinks the world revolves around him.,somewhat_funny
Another ice water double…and keep ‘em coming!,somewhat_funny
"Excuse me, I asked for the carbon neutral!",somewhat_funny
"“It’s 5 o’clock somewhere, Jimmy.”",somewhat_funny
