caption,rating
She used to think I was the center of the universe.,funny
I remember the day that Mars said “You’ll regret being habitable”,funny
Could I get some more ice?,funny
It's five o'clock somewhere.,somewhat_funny
Everything I drink goes to my equator.”,funny
I'll take another hurricane.,somewhat_funny
"Excuse me, but there's plastic in my water.",not_funny
I have to watch what I drink—I’m bipolar.,not_funny
"Another double please, I’m having a global crisis over here!",not_funny
"No, you’re the one spinning.",somewhat_funny
"Lenny, you ever wake up one day and realize you're just not as cool as you were 100 years ago?",not_funny
How does it feel to be the world’s favorite bartender?,not_funny
I used to be a lot cooler.,not_funny
Do you accept carbon credits?,somewhat_funny
I was cool with moonogamy until I met Jupiter.,not_funny
Work's been crazy - I've been on a non-stop rotation 24/7!,not_funny
"The sun? Ugh, that guy thinks everything revolves around him.",not_funny
"Aw, I’m already polluted.",somewhat_funny
I don't even know where to start. I have about 7 billion problems...,not_funny
You ever think about where you'll be in five years?,not_funny
"Oh so thirsty, 96.5% ocean and not a drop to drink",not_funny
I woulda given her the world!,not_funny
I only drink bottled water.,somewhat_funny
Could use a little more ice please.,funny
Cut me off if the room stops spinning.,not_funny
Just give me something that will help me forget the hot flashes,not_funny
"I’m telling you Bob, these people are killing me.",not_funny
Now she's complaining I'm TOO hot!,not_funny
I've got stage 4 humans,somewhat_funny
Life was better during the Paleozoic.,not_funny
"Actually, the moon is a real asshole.",not_funny
"On the rocks, please. Lots of them.",not_funny
"I'm telling ya, what goes around, comes around.",not_funny
I could use some more ice.,funny
I just feel like I'm going in circles.,not_funny
"What do you mean last call, I'm just warming up.",not_funny
Earth to bartender!,somewhat_funny
"Her name was Venus. She was so hot, but she traveled in different circles.",not_funny
Is it just me or is it getting warmer around here?,not_funny
Seriously? Do I look Flat to you?,not_funny
Is it me or is the room spinning?,not_funny
"Yeah, Venus is hot, but she's way out of my orbit.",not_funny
This place could use a little atmosphere.,not_funny
"Wait, you don’t have any ice either?",funny
"I feel Ike I work so hard, and at the end of the year I’m back where I started.”",not_funny
"Don’t worry, the Sun’s gravity is my designated driver.",not_funny
You don't know what it's like to be a small world after all.,not_funny
