StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Q2,Q3_28,Q4,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q6,Q7,Q102_28,Q103,Q104_8,Q104_9,Q104_10,Q104_11,Q104_12,Q104_13,Q105,Q106,Q107_28,Q108,Q109_8,Q109_9,Q109_10,Q109_11,Q109_12,Q109_13,Q110,Q111,Q112_28,Q113,Q114_8,Q114_9,Q114_10,Q114_11,Q114_12,Q114_13,Q115,Q116,Q117_28,Q118,Q119_8,Q119_9,Q119_10,Q119_11,Q119_12,Q119_13,Q120,Q121
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please provide your Prolific ID.,Which of the following options better describes your current state?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?,"On a scale where 0 is not at all funny and 100 is extremely funny, how funny did you find this joke?",Did you have a noticeable emotional reaction after seeing the joke?,"Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - physical threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - identity threat","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - illogical","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - contrary to your expectation","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - bad","Do you sense following aspects in the joke? (0 =  no, 10 = definitely yes) - incorrect",Do you think this joke is acceptable?,Can you come up two different ways to understand the caption?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_28""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID102_28""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104_8""}","{""ImportId"":""QID104_9""}","{""ImportId"":""QID104_10""}","{""ImportId"":""QID104_11""}","{""ImportId"":""QID104_12""}","{""ImportId"":""QID104_13""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_28""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_8""}","{""ImportId"":""QID109_9""}","{""ImportId"":""QID109_10""}","{""ImportId"":""QID109_11""}","{""ImportId"":""QID109_12""}","{""ImportId"":""QID109_13""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112_28""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114_8""}","{""ImportId"":""QID114_9""}","{""ImportId"":""QID114_10""}","{""ImportId"":""QID114_11""}","{""ImportId"":""QID114_12""}","{""ImportId"":""QID114_13""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117_28""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119_8""}","{""ImportId"":""QID119_9""}","{""ImportId"":""QID119_10""}","{""ImportId"":""QID119_11""}","{""ImportId"":""QID119_12""}","{""ImportId"":""QID119_13""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}"
2023-07-03 15:10:13,2023-07-03 15:13:00,IP Address,80.192.183.66,100,167,True,2023-07-03 15:13:01,R_2ZZz5zfck7cWOvv,,,,,51.4017,-0.1624,anonymous,EN,62b48d5013f4aad6df2ebbfa,"Playful, Positive, Emotional",65,Yes,0,0,0,0,0,0,"Yes, acceptable",No,9,No,,0,0,0,10,0,"Yes, acceptable",No,11,No,,0,4,0,10,0,"Yes, acceptable",Yes,27,No,0,,0,0,5,0,"Yes, acceptable",No,0,No,0,,8,0,10,0,"Yes, acceptable",No
2023-07-03 15:10:18,2023-07-03 15:13:29,IP Address,94.4.134.0,100,191,True,2023-07-03 15:13:30,R_2E3S5Fcs9C2j7Tk,,,,,52.9875,-2.1803,anonymous,EN,63d80712701cdd334901a0cf,"Playful, Positive, Emotional",15,No,2,1,8,9,9,6,"Yes, acceptable",No,28,No,1,1,1,5,5,0,"Yes, acceptable",No,17,No,1,1,1,5,1,7,"Yes, acceptable",No,19,No,2,1,1,1,9,7,"Yes, acceptable",No,13,No,2,1,7,3,9,7,"Yes, acceptable",No
2023-07-03 15:11:21,2023-07-03 15:13:55,IP Address,81.77.129.189,100,153,True,2023-07-03 15:13:55,R_2zdpPmeLy5CDn5C,,,,,52.3311,-2.7161,anonymous,EN,5e5c2b9b49abb641a588f59f,"Serious, Negative, Rational",8,No,,0,,,,,"No, unacceptable",No,,No,,,,,,1,"Yes, acceptable",No,5,No,,,,,,,"Yes, acceptable",Yes,0,No,,,,,,,"Yes, acceptable",No,0,No,,,,,,,"Yes, acceptable",No
2023-07-03 15:10:43,2023-07-03 15:14:03,IP Address,79.73.133.72,100,200,True,2023-07-03 15:14:04,R_bvmt0zNFgXbN4Od,,,,,51.536,-0.0925,anonymous,EN,62d5a6bd844e190019414266,"Serious, Negative, Rational",54,No,1,1,2,1,1,1,"Yes, acceptable",No,41,No,1,1,1,1,2,1,"Yes, acceptable",No,20,No,0,0,3,3,5,1,"Yes, acceptable",No,19,Yes,1,1,3,5,7,2,"Yes, acceptable",No,40,No,1,1,5,2,3,1,"Yes, acceptable",No
2023-07-03 15:11:35,2023-07-03 15:14:22,IP Address,82.20.104.223,100,166,True,2023-07-03 15:14:22,R_27v7knw44yGyoVZ,,,,,53.5477,-2.1259,anonymous,EN,5c1cf5690091e40001c82cfc,"Serious, Negative, Rational",10,No,0,0,0,0,0,0,"Yes, acceptable",Yes,19,Yes,0,0,0,0,0,0,"Yes, acceptable",No,20,Yes,0,0,0,0,0,0,"Yes, acceptable",No,30,Yes,0,0,0,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"Yes, acceptable",No
2023-07-03 15:10:47,2023-07-03 15:14:25,IP Address,82.5.29.116,100,218,True,2023-07-03 15:14:25,R_bO3vj3Q74F0t3wZ,,,,,53.4809,-2.2374,anonymous,EN,612634d710d4c6be97dd451e,"Playful, Positive, Emotional",20,Yes,0,0,0,0,0,0,"Yes, acceptable",Yes,4,No,0,0,0,0,5,0,"Yes, acceptable",No,70,Yes,0,0,0,0,0,0,"Yes, acceptable",No,0,No,0,0,0,0,10,0,"Yes, acceptable",No,8,No,0,0,0,0,1,0,"Yes, acceptable",No
2023-07-03 15:12:16,2023-07-03 15:15:30,IP Address,82.24.125.196,100,194,True,2023-07-03 15:15:31,R_1lto5IRPKvcQ9ro,,,,,54.5396,-5.975,anonymous,EN,5c8cdd8f2edaac001790123a,"Playful, Positive, Emotional",31,No,0,1,0,0,6,1,"Yes, acceptable",No,50,No,0,0,0,1,0,0,"Yes, acceptable",No,0,Yes,0,0,0,,10,0,"No, unacceptable",No,6,No,0,0,0,,6,0,"Yes, acceptable",No,5,No,,0,0,0,,,"Yes, acceptable",No
2023-07-03 15:12:52,2023-07-03 15:15:54,IP Address,86.14.168.74,100,182,True,2023-07-03 15:15:55,R_1hSAPu7FzRunJh0,,,,,51.3738,0.4913,anonymous,EN,5c7db93f4855980016a164c1,"Serious, Negative, Rational",5,Yes,0,0,5,5,7,0,"Yes, acceptable",No,0,No,0,0,0,0,0,0,"No, unacceptable",No,25,No,0,0,0,2,1,0,"Yes, acceptable",No,0,No,0,0,5,5,6,0,"Yes, acceptable",No,0,No,0,,0,5,5,5,"No, unacceptable",No
