caption,label
"Trust me, they’re going to take the bait.",funny
I'm the YMCPA.,funny
Perhaps I do have a self-serving bias,funny
It makes the holes we chewed in the couch seem so small.,funny
Could I get some more ice?,funny
Sea Muenster.,funny
I got the opposite answer on the whiteboard.,funny
"They fell off a garbage truck, so they’re the pick of the litter.",funny
All I know is that it ends at noon,funny
It’s not a formula for anything. It just intimidates the hell out of the liberal arts majors.,funny
I guess there's a kernel of truth to all this climate change hype.,funny
"Attention, passengers: we'll be tunneling shortly.”",funny
"Staffing Update: Sean, who suggested a team meeting at Saito's Sushi Bar, is no longer with us.",funny
I just found out that I’m bipolar,funny
"In this case, thinking outside the box would be beneficial.",funny
What’s one more knot?,funny
"One day, it'll be known as the 'Shootout at the Croquet Coral'.",funny
They’re all named Rolex.,funny
Let’s Uber to bed.,funny
I'm taking you off this diet.,funny
"Wild air, blue water, endless fries, and still they squawk.",funny
Feel like jaywalking?,funny
Wanna hang after work?,funny
"You did well with the maze.  Next, it's finding public restrooms.",funny
I don't think that's what they meant by extra leg room.,funny
Open with a great hyena joke.,funny
I see why the reviews were mixed.,funny
"Well, we still have the mailman.",funny
Those conflict mediation classes really worked wonders.,funny
"If you’ve got the tequila, I’ve got the sunrise.",funny
They said I could work from anywhere if I followed the dress code.,funny
What you see is what you pet.,funny
"Relax, it's an after dinner speech.",funny
I’m from across the pond.,funny
"Just changed my zoom background ,so they think I'm working from home.",funny
These password requirements are getting more and more ridiculous.,funny
I'm not happy either. I booked the cargo hold to be with my family.,funny
"Shuck this.""",funny
Is someone taking notes? I'm not going to remember any of this,funny
Whose head do you have to bite off in this place to get a cocktail?,funny
"Of course, we'll place it higher if it's a girl.",funny
Can I show you something real quick?,funny
Of course we value non-linear thinking.,funny
You can claim them as out-of-pocket expenses.”,funny
I just know you’ll leave them hungry for more!,funny
All we need now is to find a port,funny
At least I don’t have a glass ceiling.,funny
Chalk is finite!,funny
It's looking like there's never going to be a Mrs. Softee.,funny
"From up here those people look like…oh, i’m so sorry”",funny
Eureka! The airlines' ticket pricing formula!,funny
"It was summer and I was a kid with a magnifying glass, okay?",funny
Retirement up North is sounding more and more appealing.,funny
I think we chewed through the wrong cord.,funny
"I do this to scare the students, I actually have no idea what it means.",funny
"And then one day she met a guy with sprinkles, and it was pretty much over.",funny
"Sure, I created it. That doesn't mean I remember every detail.",funny
Be glad you're the AFTER dinner speaker.,funny
Business and pleasure. You?,funny
The Doctor will try to see you now.,funny
« Oh for shuck’s sake »,funny
I had to put my wife in a bowl yesterday,funny
I think I just popped my pants,funny
I’ll take a frozen ANYTHING!,funny
Check out the local trash.,funny
"No, Doc-- I said I was dropped on my head BY a small child.",funny
…plus or minus.,funny
"Once again. All dressed up and no place to go.""",funny
It's time you were filled in.,funny
"I’ve got something for everyone: you want to be greeted with love and adoration, or would you prefer to be glanced at in disgust when you come home from work",funny
When did you last see your bathing suit?,funny
"It’s a pride event , you can’t cancel now it will be all over the news.",funny
Is this your first Presidential debate?,funny
I had told you butter doesn't count as sunscreen,funny
"Please, I know a housing bubble when I see one.",funny
Hotter than a microwave out here today,funny
Flying these days is no picnic,funny
"It’s not the heat, it’s the…actually it is the heat.",funny
Your money or I’ll give these to your kids.,funny
A bow tie? And look ridiculous?,funny
I’m trying to keep the company afloat.,funny
I have to run.,funny
It's that simple!,funny
My ears are popping.,funny
You don’t have to say ‘excuse me’ every single time.,funny
Looks like you still owe the IRS $271.,funny
"No, I can’t just ‘pencil you in’.",funny
It's either sync or swim.,funny
You forgot to fill out your form completely.,funny
I'm the branch manager.,funny
The janitor made some changes last night.,funny
Look at you all! like fish out of water!,funny
Did I mention that I'm bipolar?,funny
They're turning it into an IKEA.,funny
Last time I visit Texas.,funny
It started with a treadmill desk.,funny
I feel as if I can never warm up to anyone.,funny
"Looking on the bright side, at least we don’t have to get up for DoorDash.",funny
It’s called an Emotional Support Coat,funny
"If we can find someone who has a suggestion, we’re all ears.",funny
"Another hot flash, Judy?",funny
Do you also see kibble around an open manhole?,funny
I feel women want only one thing from me,funny
This new carpet is very middle-of-the-road.,funny
"On a one-to-five scale, how likely would you be to purchase one of our beach towels?",funny
"Then she left me for a gelato, but you know how smooth those Italians are.",funny
"No, you’re the one spinning.",funny
"Welcome to the Mild, Mild West!",funny
Do you take last requests?,funny
Should we call pest control?,funny
"Hey Sid, can you take a quick look at this?",funny
