AllPunc,Linguistic,function,verb,BigWords,pronoun,Dic,det,Analytic,ppron,Period,auxverb,WPS,Authentic,prep,WC,Social,Cognition,Perception,allure,cogproc,article,focuspresent,Clout,ipron,i,adverb,adj,socrefs,Apostro,label,mean
37.5,75.0,50.0,50.0,0.0,25.0,87.5,12.5,62.1,25.0,12.5,12.5,8.0,15.38,12.5,8,25.0,0.0,0.0,12.5,0.0,12.5,12.5,40.06,0.0,12.5,0.0,0.0,12.5,12.5,funny,1.6468579234972678
66.67,66.67,66.67,33.33,0.0,33.33,66.67,33.33,10.19,33.33,33.33,33.33,3.0,99.0,0.0,3,0.0,0.0,0.0,0.0,0.0,33.33,33.33,1.0,0.0,33.33,0.0,0.0,0.0,33.33,funny,1.512288786482335
14.29,71.43,71.43,28.57,28.57,14.29,71.43,14.29,2.35,14.29,0.0,28.57,7.0,24.32,0.0,7,0.0,14.29,0.0,14.29,14.29,14.29,0.0,1.0,0.0,14.29,14.29,0.0,0.0,0.0,funny,1.6051282051282052
8.33,75.0,50.0,16.67,0.0,16.67,91.67,16.67,73.36,8.33,8.33,0.0,12.0,39.59,8.33,12,8.33,16.67,8.33,0.0,16.67,16.67,8.33,98.75,8.33,0.0,8.33,8.33,8.33,0.0,funny,1.542361111111111
16.67,83.33,66.67,33.33,0.0,16.67,83.33,33.33,10.19,16.67,0.0,16.67,6.0,1.0,0.0,6,0.0,16.67,0.0,16.67,16.67,0.0,0.0,1.0,0.0,16.67,0.0,16.67,0.0,0.0,funny,1.6399239543726236
50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,89.52,0.0,50.0,0.0,2.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.06,0.0,0.0,0.0,0.0,0.0,0.0,funny,1.6035846072746442
12.5,75.0,50.0,12.5,25.0,12.5,87.5,25.0,99.0,12.5,12.5,0.0,8.0,99.0,12.5,8,12.5,25.0,0.0,0.0,25.0,25.0,0.0,1.0,0.0,12.5,0.0,12.5,0.0,0.0,funny,1.6135593220338984
23.08,76.92,61.54,23.08,7.69,15.38,84.62,23.08,89.52,15.38,7.69,7.69,13.0,81.58,15.38,13,15.38,0.0,15.38,0.0,0.0,23.08,7.69,98.04,0.0,0.0,7.69,0.0,15.38,7.69,funny,1.5820416889363975
0.0,77.78,66.67,22.22,0.0,33.33,100.0,22.22,10.19,11.11,0.0,11.11,9.0,99.0,11.11,9,0.0,22.22,0.0,11.11,11.11,0.0,11.11,2.75,22.22,11.11,0.0,0.0,0.0,0.0,funny,1.5277044854881263
17.65,64.71,64.71,5.88,23.53,17.65,94.12,17.65,89.52,0.0,11.76,5.88,8.5,12.44,17.65,17,0.0,11.76,5.88,5.88,11.76,17.65,5.88,1.0,17.65,0.0,5.88,0.0,0.0,5.88,funny,1.510204081632653
